date,commodity,region,price,currency
2026-01-20,Beans (90kg),Western,8800,KES
2026-01-21,Beans (90kg),Western,8820,KES
2026-01-22,Beans (90kg),Western,8780,KES
2026-01-23,Beans (90kg),Western,8750,KES
2026-01-24,Beans (90kg),Western,8700,KES
2026-01-25,Beans (90kg),Western,8720,KES
2026-01-26,Beans (90kg),Western,8680,KES
2026-01-27,Beans (90kg),Western,8650,KES
2026-01-28,Beans (90kg),Western,8660,KES
2026-01-29,Beans (90kg),Western,8620,KES
2026-01-30,Beans (90kg),Western,8600,KES
2026-01-31,Beans (90kg),Western,8580,KES
2026-02-01,Beans (90kg),Western,8600,KES
2026-02-02,Beans (90kg),Western,8560,KES
2026-02-03,Beans (90kg),Western,8530,KES
2026-02-04,Beans (90kg),Western,8550,KES
2026-02-05,Beans (90kg),Western,8510,KES
2026-02-06,Beans (90kg),Western,8490,KES
2026-02-07,Beans (90kg),Western,8500,KES
2026-02-08,Beans (90kg),Western,8470,KES
2026-02-09,Beans (90kg),Western,8440,KES
2026-02-10,Beans (90kg),Western,8460,KES
2026-02-11,Beans (90kg),Western,8420,KES
2026-02-12,Beans (90kg),Western,8400,KES
2026-02-13,Beans (90kg),Western,8410,KES
2026-02-14,Beans (90kg),Western,8380,KES
2026-02-15,Beans (90kg),Western,8350,KES
2026-02-16,Beans (90kg),Western,8360,KES
2026-02-17,Beans (90kg),Western,8320,KES
2026-02-18,Beans (90kg),Western,8300,KES
